codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
57188,1,FALSE,5702,5702,FALSE,5702
57189,1,FALSE,5714,5714,FALSE,5714
57190,1,FALSE,5709,5709,FALSE,5709
57191,1,FALSE,5721,5721,FALSE,5721
57192,1,FALSE,5726,5726,FALSE,5726
57193,1,FALSE,5735,5735,FALSE,5735
57194,1,FALSE,5705,5705,FALSE,5705
57195,1,FALSE,5736,5736,FALSE,5736
57196,1,FALSE,5736,5736,FALSE,5736
57197,1,FALSE,5728,5728,FALSE,5728
57198,1,FALSE,5714,5714,FALSE,5714
57199,1,FALSE,5705,5705,FALSE,5705
57200,1,FALSE,5735,5735,FALSE,5735
57201,1,FALSE,5726,5726,FALSE,5726
57202,1,FALSE,5751,5751,FALSE,5751
57203,1,FALSE,5705,5705,FALSE,5705
57204,1,FALSE,5735,5735,FALSE,5735
57205,1,FALSE,5704,5704,FALSE,5704
57206,1,FALSE,5745,5745,FALSE,5745
57207,1,FALSE,5741,5741,FALSE,5741
57208,1,FALSE,5747,5747,FALSE,5747
57209,1,FALSE,5709,5709,FALSE,5709
57210,1,FALSE,5710,5710,FALSE,5710
57211,1,FALSE,5748,5748,FALSE,5748
57212,1,FALSE,5733,5733,FALSE,5733
57213,1,FALSE,5704,5704,FALSE,5704
57214,1,FALSE,5705,5705,FALSE,5705
57215,1,FALSE,5731,5731,FALSE,5731
57216,1,FALSE,5710,5710,FALSE,5710
57217,1,FALSE,5709,5709,FALSE,5709
57218,1,FALSE,5733,5733,FALSE,5733
57219,1,FALSE,5735,5735,FALSE,5735
57220,1,FALSE,5723,5723,FALSE,5723
57221,1,FALSE,5739,5739,FALSE,5739
57222,1,FALSE,5747,5747,FALSE,5747
57223,0,TRUE,NA,NA,FALSE,missing_canton_57223
57224,1,FALSE,5727,5727,FALSE,5727
57225,1,FALSE,5707,5707,FALSE,5707
57226,1,FALSE,5711,5711,FALSE,5711
57227,3,FALSE,5712|5751|5798,5712,TRUE,split_57227
57228,1,FALSE,5707,5707,FALSE,5707
57229,1,FALSE,5725,5725,FALSE,5725
57230,1,FALSE,5709,5709,FALSE,5709
57231,1,FALSE,5733,5733,FALSE,5733
57232,1,FALSE,5701,5701,FALSE,5701
57233,1,FALSE,5716,5716,FALSE,5716
