codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
20108,0,TRUE,NA,NA,FALSE,missing_canton_20108
20109,0,TRUE,NA,NA,FALSE,missing_canton_20109
20110,0,TRUE,NA,NA,FALSE,missing_canton_20110
20111,0,TRUE,NA,NA,FALSE,missing_canton_20111
20112,0,TRUE,NA,NA,FALSE,missing_canton_20112
20113,0,TRUE,NA,NA,FALSE,missing_canton_20113
20114,0,TRUE,NA,NA,FALSE,missing_canton_20114
20115,0,TRUE,NA,NA,FALSE,missing_canton_20115
20116,0,TRUE,NA,NA,FALSE,missing_canton_20116
20117,0,TRUE,NA,NA,FALSE,missing_canton_20117
20118,0,TRUE,NA,NA,FALSE,missing_canton_20118
20119,0,TRUE,NA,NA,FALSE,missing_canton_20119
20120,0,TRUE,NA,NA,FALSE,missing_canton_20120
20121,0,TRUE,NA,NA,FALSE,missing_canton_20121
20122,0,TRUE,NA,NA,FALSE,missing_canton_20122
20123,0,TRUE,NA,NA,FALSE,missing_canton_20123
20124,0,TRUE,NA,NA,FALSE,missing_canton_20124
20125,0,TRUE,NA,NA,FALSE,missing_canton_20125
20126,0,TRUE,NA,NA,FALSE,missing_canton_20126
20127,0,TRUE,NA,NA,FALSE,missing_canton_20127
20128,0,TRUE,NA,NA,FALSE,missing_canton_20128
20129,0,TRUE,NA,NA,FALSE,missing_canton_20129
20130,0,TRUE,NA,NA,FALSE,missing_canton_20130
20131,0,TRUE,NA,NA,FALSE,missing_canton_20131
20132,0,TRUE,NA,NA,FALSE,missing_canton_20132
20133,0,TRUE,NA,NA,FALSE,missing_canton_20133
20134,0,TRUE,NA,NA,FALSE,missing_canton_20134
20135,0,TRUE,NA,NA,FALSE,missing_canton_20135
20136,0,TRUE,NA,NA,FALSE,missing_canton_20136
20137,0,TRUE,NA,NA,FALSE,missing_canton_20137
20138,0,TRUE,NA,NA,FALSE,missing_canton_20138
20139,0,TRUE,NA,NA,FALSE,missing_canton_20139
20140,0,TRUE,NA,NA,FALSE,missing_canton_20140
20141,0,TRUE,NA,NA,FALSE,missing_canton_20141
20142,0,TRUE,NA,NA,FALSE,missing_canton_20142
20143,0,TRUE,NA,NA,FALSE,missing_canton_20143
20144,0,TRUE,NA,NA,FALSE,missing_canton_20144
20145,0,TRUE,NA,NA,FALSE,missing_canton_20145
20146,0,TRUE,NA,NA,FALSE,missing_canton_20146
20147,0,TRUE,NA,NA,FALSE,missing_canton_20147
20148,0,TRUE,NA,NA,FALSE,missing_canton_20148
20149,0,TRUE,NA,NA,FALSE,missing_canton_20149
